University,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used
Harvard University,4,0.463391137,6710,35495355,0.86,1497,0.05,48949,0,1
University of Texas--Austin,3.75,0.80692959,40168,29041575,0.55,1297,0.4,10136,1,0
Yale University,3.87,0.477272727,5472,25490350,0.86,1498,0.06,51400,0,1
Princeton University,3.9,0.267241379,5400,22438026.5,0.89,1490,0.07,47140,0,1
Stanford University,3.9,0.462721894,7034,22310543.5,0.75,1479,0.05,49617,0,1
Brigham Young University--Provo,3.8,0.493503937,30979,15350000,0.29,1290,0.51,5460,0,0
Massachusetts Institute of Technology,3.92,0.577142857,4524,13328129,0.84,1507,0.08,49892,0,1
University of Pennsylvania,3.9,0.68252149,10019,10424466.5,0.85,1457,0.09,53534,0,1
Northwestern University,4,0.781656805,8353,9920767,0.84,1460,0.11,52678,0,1
University of Michigan,3.8,0.811149228,28983,9847787,0.76,1384,0.29,14826,1,0
Columbia University,4,0.702791461,6113,9340046,0.86,1473,0.06,57208,0,1
University of Notre Dame,3.89,0.852300242,8530,8470517.5,0.9,1455,0.19,51505,0,1
"University of California, Berkeley",3.9,0.67008135,29311,8169086,0.76,1397,0.16,14098,1,0
University of Chicago,4,0.660377359,5941,7275457,0.89,1506,0.08,54825,0,1
Duke University,3.91,0.88019802,6609,7068162.5,0.86,1450,0.11,53744,0,1
Washington University in St. Louis,3.87,0.745689655,7540,6640232.5,0.88,1469,0.17,51533,0,1
Emory University,3.7,0.87917967,6861,6542977.5,0.85,1366,0.25,49392,0,1
Cornell University,3.86,0.804725306,14566,5897634,0.87,1428,0.14,52853,0,1
Rice University,3.89,0.672413793,3893,5440884,0.83,1482,0.15,45608,0,1
University of Southern California,3.9,0.858007566,18794,4659112.5,0.77,1391,0.17,54259,0,1
Dartmouth College,3.89,0.805755396,4310,4568947.5,0.88,1437,0.11,52950,0,1
Vanderbilt University,3.8,0.563872256,6871,3977864.5,0.87,1498,0.11,47664,0,1
Pennsylvania State University-University Park,3.6,0.914684449,41359,3619021,0.68,1094,0.56,18436,1,0
Ohio State University--Columbus,3.8,0.866984222,45831,3606224.5,0.59,1295,0.54,10591,1,0
University of Pittsburgh,4,0.952991453,19123,3556839.5,0.64,1201,0.55,19080,1,0
New York University,3.6,0.854227833,26135,3531941,0.82,1360,0.32,50464,0,1
Johns Hopkins University,3.9,0.899073121,6117,3396949,0.88,1453,0.12,52170,0,1
University of Minnesota-Twin Cities,3.73,0.885806705,34871,3289070.5,0.61,1285,0.44,14417,1,0
University of Washington,3.75,0.740981364,30933,3022119.5,0.65,1223,0.45,10974,1,0
Brown University,3.89,0.715824358,6926,3018357.5,0.84,1457,0.09,53419,0,1
University of North Carolina-Chapel Hill,4,0.703492064,18523,2939242.5,0.84,1343,0.27,9005,1,1
University of Wisconsin--Madison,3.8,0.854089904,31710,2442106,0.57,1300,0.53,10533,1,0
University of Illinois--Urbana-Champaign,3.8,0.869190632,33932,2339732,0.7,1305,0.6,15868,1,0
Purdue University--West Lafayette,3.7,0.796935395,30043,2326221.5,0.49,1231,0.56,10002,1,0
Williams College,3.86,0.653669725,2076,2325630,0.86,1442,0.18,53550,0,1
University of Richmond,3.83,0.882491187,3036,2280678,0.84,1337,0.32,50910,0,0
Michigan State University,3.7,0.892853726,39090,2249782,0.52,1159,0.66,14460,1,0
California Institute of Technology,3.93,0.483870968,979,2152805.5,0.81,1544,0.08,49908,0,1
Boston College,3.9,0.959557053,9309,2141950,0.89,1380,0.31,53346,0,1
Amherst College,4,0.5,1849,2112677,0.86,1451,0.14,54310,0,1
Pomona College,4,0.472924188,1660,2041817.5,0.92,1435,0.09,51075,0,0
University of Rochester,3.8,0.948364888,6386,1988886,0.74,1410,0.38,52020,0,1
Indiana University--Bloomington,3.7,0.862080425,39184,1980339.5,0.6,1199,0.79,10533,1,0
Georgia Institute of Technology,3.9,0.806637807,15489,1851370.5,0.41,1403,0.26,12418,1,1
University of California--Los Angeles,3.9,0.721800948,30873,1834138,0.74,1339,0.18,13256,1,1
Wellesley College,3.98,0.695652174,2347,1818991,0.83,1369,0.29,51148,0,1
Swarthmore College,3.89,0.569230769,1543,1796380.5,0.88,1431,0.13,50822,0,1
Carnegie Mellon University,3.8,0.948436179,6673,1724046,0.75,1448,0.22,53910,0,1
Case Western Reserve University,3.71,0.935986159,5152,1719369,0.64,1398,0.35,47500,0,1
Grinnell College,4,0.890322581,1699,1718279,0.81,1402,0.2,50464,0,0
Smith College,3.9,0.912258065,2514,1704616,0.86,1410,0.37,50044,0,0
Boston University,3.6,0.942863917,17944,1649324,0.81,1303,0.29,52082,0,1
Virginia Commonwealth University,3.6,0.918642874,24212,1599010.5,0.36,1097,0.75,13570,1,0
George Washington University,3.8,0.93646978,11504,1593317.5,0.76,1294,0.4,53518,0,0
Tufts University,4,0.749235474,5508,1577993.5,0.87,1424,0.14,54318,0,1
University of Oklahoma,3.6,0.834136484,22436,1521689,0.4,1204,0.71,9062,1,0
University of Florida,4,0.656118825,34554,1508525,0.67,1272,0.46,6381,1,1
University of Nebraska,3.5,0.862807525,20833,1506580.5,0.36,1145,0.75,8690,1,0
Georgetown University,3.89,0.856421356,7453,1506185.5,0.9,1416,0.17,52300,0,1
University of Kansas,3.6,0.897549094,19262,1487780,0.41,1145,0.93,10824,1,0
Texas Christian University,3.58,0.852135816,8891,1475097.5,0.63,1220,0.38,44760,0,0
Washington and Lee University,3.87,0.820143885,1830,1471879.5,0.88,1395,0.24,51148,0,1
University of Missouri ,3.54,0.903946125,25898,1468475,0.44,1203,0.78,10716,1,0
Southern Methodist University,3.7,0.882629108,6521,1444638.5,0.68,1330,0.49,52498,0,0
Bowdoin College,3.8,0.680781759,1806,1366370.5,0.89,1505,0.15,51848,0,1
University of Delaware,3.7,0.933625337,18374,1301581.5,0.71,1198,0.65,12830,1,0
University of Iowa,3.6,0.906870639,24476,1261176,0.51,1164,0.84,8575,1,0
University of Alabama,3.7,0.916921732,32563,1229867.5,0.44,1181,0.53,10780,1,0
Tulane University,3.5,0.910854746,6377,1195889,0.72,1346,0.26,52960,0,1
Lehigh University,3.8,0.96064257,5080,1187959,0.77,1338,0.26,50740,0,1
University of Cincinnati,3.6,0.873255814,25860,1180710.5,0.31,1165,0.76,11000,1,0
Syracuse University,3.7,0.943580631,15218,1161468.5,0.69,1195,0.52,46755,0,1
Baylor University,3.64,0.911802192,14348,1156261,0.58,1239,0.4,43790,0,0
Wake Forest University,3.88,0.889585947,4955,1154305.5,0.84,1380,0.3,51400,0,1
Texas Tech University,3.5,0.861022998,29963,1152364.5,0.34,1134,0.63,10771,1,0
University of Kentucky,3.7,0.884839839,22621,1130287,0.38,1143,0.91,11922,1,0
University of Tennessee,3.9,0.818227467,22139,1103279,0.43,1214,0.77,12970,1,0
University of Colorado--Boulder,3.7,0.871927352,27846,1076480.5,0.47,1212,0.77,11531,1,0
Berea College,3.5,0.162031439,1665,1076078,0.48,1117,0.33,25200,0,0
Saint Louis University,3.9,0.91691023,7454,1073191.5,0.66,1257,0.65,42166,0,0
Middlebury College,3.95,0.847985348,2532,1050826,0.85,1383,0.16,52496,0,1
University of Utah,3.55,0.75,23789,1049846.5,0.29,1130,0.76,9166,1,0
Rutgers University--New Brunswick,3.66,0.859842698,36168,1042817,0.59,1187,0.57,14372,1,1
University of Georgia,3.86,0.842574126,27951,1010859.5,0.63,1252,0.54,11818,1,1
University of Tulsa,3.9,0.823855756,3406,997346,0.58,1295,0.37,39502,0,1
North Carolina State University,3.7,0.862527716,23847,991289.5,0.48,1264,0.46,9058,1,1
University of Maryland,4,0.815631542,28472,977554.5,0.69,1315,0.48,10399,1,1
Vassar College,3.8,0.719054242,2424,955893,0.87,1405,0.27,55210,0,1
University of Arkansas,3.7,0.860137852,22548,923793.5,0.42,1154,0.63,9062,1,0
Washington State University,3.4,0.832986905,24904,896802.5,0.41,1039,0.72,11391,1,0
Brandeis University,3.9,0.943052392,3608,890932.5,0.83,1360,0.33,53582,0,1
University of Miami,4,0.865499573,10849,865986,0.7,1319,0.38,48484,0,1
Oklahoma State University,3.5,0.804196796,21093,862276.5,0.39,1118,0.75,8738,1,0
Colgate University,3.7,0.858299595,2882,856953,0.85,1374,0.29,53980,0,1
Yeshiva University,3.5,0.675084175,2714,847148,0.71,1229,0.51,42000,0,1
Hamilton College,3.97,0.90521327,1879,836638.5,0.89,1445,0.26,52770,0,0
Bryn Mawr College,3.88,0.957627119,1381,825053,0.78,1346,0.4,50500,0,0
Louisiana State University--Baton Rouge,3.4,0.906122449,26118,816833,0.42,1210,0.76,11374,1,0
College of William and Mary,4,0.840271878,6276,807457.5,0.85,1353,0.37,20287,1,1
Oberlin College,3.6,0.946202532,2895,801326.5,0.72,1357,0.28,53460,0,0
Pepperdine University,3.59,0.92257361,3542,793247.5,0.76,1226,0.37,51992,0,1
Wesleyan University,3.73,0.741590214,2971,790069.5,0.87,1425,0.18,52474,0,1
University of Louisville,3.5,0.809320527,15827,779988.5,0.28,1159,0.73,11264,1,0
Iowa State University,3.6,0.916984925,30671,773333,0.44,1142,0.87,8420,1,0
University of Houston,3.53,0.721655066,35871,768190.5,0.23,1154,0.59,11887,1,0
University of Arizona,3.42,0.804612821,34072,761295.5,0.42,1165,0.79,11644,1,0
Carleton College,4,0.875338753,2105,760796,0.88,1400,0.23,52782,0,1
Denison University,3.6,0.946791862,2277,756640.5,0.79,1345,0.44,50440,0,0
Bucknell University,3.5,0.949790795,3571,755889.5,0.84,1315,0.3,53986,0,0
Lafayette College,3.5,0.936363636,2550,755398.5,0.85,1294,0.28,50850,0,0
University of Massachusetts--Boston,3.3,0.811498065,12847,752194,0.18,1055,0.69,13828,1,0
Rochester Institute of Technology,3.6,0.941668326,12410,751806.5,0.29,1251,0.55,40068,0,1
University of Oregon,3.6,0.85971159,20049,738901.5,0.5,1119,0.78,11571,1,1
Macalester College,3.89,0.93902439,2146,731103.5,0.84,1358,0.37,52464,0,1
Colby College,3.9,0.809688581,1879,728308,0.84,1363,0.19,53120,0,1
Claremont McKenna College,4,0.815315315,1347,721488.5,0.86,1408,0.09,52825,0,1
Northeastern University,4,0.919291791,13473,711212.5,0.82,1435,0.29,49497,0,1
Colorado College,3.85,0.803370787,2101,701655,0.82,1400,0.17,53238,0,1
College of the Holy Cross,3.05,0.947916667,2941,701151.5,0.89,1375,0.38,50630,0,1
Mount Holyoke College,3.8,0.958598726,2199,683949.5,0.78,1410,0.52,47940,0,0
Howard University,3.5,0.833219878,5899,672702.5,0.39,1105,0.3,25697,0,1
