,university,gpa_avg,loan_ever,enrollment_und,edm_avg,graduation rate,sat_avg,accept_ratio,tuition,pub_pri,Money_used
56,University of Florida,4.0,0.656118825,34554,1508525.0,0.67,1272,0.46,6381,1,2
114,Colby College,3.9,0.809688581,1879,728308.0,0.84,1363,0.19,53120,0,2
139,Villanova University,3.86,0.964966512,6999,552447.5,0.86,1326,0.44,51434,0,2
194,Colorado State University,3.6,0.8766531359999999,25177,283851.5,0.42,1145,0.85,11632,1,2
65,University of Delaware,3.7,0.933625337,18374,1301581.5,0.71,1198,0.65,12830,1,1
142,University of California--San Diego,4.0,0.754217901,28127,542225.5,0.59,1344,0.36,16183,1,2
196,Ithaca College,3.59,0.9645799009999999,6221,277671.0,0.66,1265,0.7,42884,0,1
136,University of Mississippi,3.6,0.861093144,19213,604633.0,0.37,1118,0.78,8290,1,1
31,University of Wisconsin--Madison,3.8,0.8540899040000001,31710,2442106.0,0.57,1300,0.53,10533,1,1
12,"University of California, Berkeley",3.9,0.67008135,29311,8169086.0,0.76,1397,0.16,14098,1,1
35,University of Richmond,3.83,0.8824911870000001,3036,2280678.0,0.84,1337,0.32,50910,0,0
28,University of Washington,3.75,0.740981364,30933,3022119.5,0.65,1223,0.45,10974,1,0
42,Indiana University--Bloomington,3.7,0.862080425,39184,1980339.5,0.6,1199,0.79,10533,1,0
229,Rider University,3.3,0.9518384259999999,4060,57288.5,0.58,1014,0.69,41310,0,2
115,Claremont McKenna College,4.0,0.815315315,1347,721488.5,0.86,1408,0.09,52825,0,2
155,Worcester Polytechnic Institute,3.8,0.986745214,4432,451093.5,0.8,1380,0.48,48628,0,2
51,Boston University,3.6,0.942863917,17944,1649324.0,0.81,1303,0.29,52082,0,2
132,Furman University,3.64,0.919175911,2797,620564.0,0.78,1310,0.68,48348,0,0
183,Franklin and Marshall College,3.81,0.944816054,2255,320093.0,0.83,1375,0.36,54380,0,2
76,University of Tennessee,3.9,0.818227467,22139,1103279.0,0.43,1214,0.77,12970,1,0
41,University of Rochester,3.8,0.948364888,6386,1988886.0,0.74,1410,0.38,52020,0,2
97,Louisiana State University--Baton Rouge,3.4,0.906122449,26118,816833.0,0.42,1210,0.76,11374,1,0
140,Marquette University,3.57,0.911838791,8238,550832.0,0.6,1219,0.74,39900,0,2
78,Berea College,3.5,0.162031439,1665,1076078.0,0.48,1117,0.33,25200,0,0
135,University of La Verne,3.5,0.844964029,2809,605762.5,0.48,1034,0.48,41450,0,0
26,Johns Hopkins University,3.9,0.8990731209999999,6117,3396949.0,0.88,1453,0.12,52170,0,2
213,Assumption College,3.5,0.975378788,2407,97500.5,0.72,1180,0.78,36260,0,2
172,University of Connecticut,3.67,0.8747632879999999,19324,380160.0,0.7,1233,0.49,14880,1,2
158,University of St. Thomas,3.6,0.952882483,6111,442846.5,0.62,1202,0.83,41133,0,2
0,Harvard University,4.0,0.463391137,6710,35495355.0,0.86,1497,0.05,48949,0,2
2,Yale University,3.87,0.477272727,5472,25490350.0,0.86,1498,0.06,51400,0,2
77,University of Colorado--Boulder,3.7,0.871927352,27846,1076480.5,0.47,1212,0.77,11531,1,1
46,Swarthmore College,3.89,0.569230769,1543,1796380.5,0.88,1431,0.13,50822,0,2
100,Pepperdine University,3.59,0.92257361,3542,793247.5,0.76,1226,0.37,51992,0,2
111,Rochester Institute of Technology,3.6,0.9416683259999999,12410,751806.5,0.29,1251,0.55,40068,0,2
138,American University,3.7,0.948698316,7901,588627.5,0.76,1252,0.26,46615,0,2
165,University of South Florida,3.9,0.732174385,31461,406369.5,0.44,1167,0.47,6410,1,2
90,Brandeis University,3.9,0.943052392,3608,890932.5,0.83,1360,0.33,53582,0,2
85,North Carolina State University,3.7,0.8625277159999999,23847,991289.5,0.48,1264,0.46,9058,1,2
161,Virginia Military Institute,3.6,0.952554745,1713,433440.5,0.64,1139,0.51,18214,1,0
152,Kansas State University,3.5,0.893984608,19472,482276.5,0.31,1160,0.94,9874,1,2
98,College of William and Mary,4.0,0.8402718779999999,6276,807457.5,0.85,1353,0.37,20287,1,2
36,Michigan State University,3.7,0.8928537259999999,39090,2249782.0,0.52,1159,0.66,14460,1,0
182,Rhodes College,3.9,0.92519685,1999,329070.5,0.77,1306,0.54,46504,0,2
61,Washington and Lee University,3.87,0.820143885,1830,1471879.5,0.88,1395,0.24,51148,0,2
22,Pennsylvania State University-University Park,3.6,0.914684449,41359,3619021.0,0.68,1094,0.56,18436,1,0
